SEED_RAST	IANT_BiGG	IANT_MNXR	IANT_KEGG	Sum
rxn02989	0	1	0	2
rxn00392	0	0	0	0
rxn00772	1	1	0	2
rxn00777	1	1	0	2
rxn09240	0	1	0	1
rxn02774	0	0	0	0
rxn02056	0	0	0	0
rxn03630	1	1	1	3
rxn02003	1	1	1	3
rxn01068	1	1	1	3
rxn09310	0	0	0	0
rxn01200	1	1	0	2
rxn00438	1	1	1	3
rxn00605	1	1	1	3
rxn02312	1	1	1	3
rxn00293	0	0	0	0
rxn00211	1	1	1	3
rxn00119	1	1	1	3
rxn00711	1	1	1	3
rxn02085	0	0	0	0
rxn01517	0	1	0	1
rxn01544	0	1	0	1
rxn01545	0	1	1	2
rxn00776	0	0	0	0
rxn00224	1	1	1	3
rxn11599	0	0	0	0
rxn02229	0	1	0	1
rxn00441	0	1	0	1
rxn02185	0	1	0	1
rxn00921	0	0	0	0
rxn04989	0	0	0	0
rxn06577	0	0	0	0
rxn02693	0	0	0	0
rxn00259	0	0	0	0
rxn03923	0	0	0	0
rxn02421	0	0	0	0
rxn01157	0	0	0	0
rxn02617	0	0	0	0
rxn02586	0	0	0	0
rxn04977	0	0	0	0
rxn04757	0	0	0	0
rxn05287	0	0	0	0
rxn00905	0	1	0	1
rxn05106	0	1	0	2
rxn14090	0	0	0	0
