rxn01450	MNXR100837
rxn00880	MNXR100839
rxn08752	MNXR100840
rxn05593	MNXR100841
rxn00879	MNXR100842
rxn05743	MNXR100843
rxn01299	MNXR100844
rxn00835	MNXR100845
rxn08755	MNXR100848
rxn08754	MNXR100849
rxn05316	MNXR100850
rxn08753	MNXR100850
rxn10561	MNXR100853
rxn10562	MNXR100854
rxn10563	MNXR100856
rxn10564	MNXR100871
rxn10565	MNXR100872
rxn08756	MNXR100874
rxn13332	MNXR100876
rxn03062	MNXR100878
rxn00902	MNXR100879
rxn05594	MNXR100880
rxn08758	MNXR100880
rxn08759	MNXR100881
rxn00582	MNXR100882
rxn01732	MNXR100883
rxn01731	MNXR100884
rxn00707	MNXR100885
rxn00513	MNXR100892
rxn01642	MNXR100896
rxn08760	MNXR100899
rxn08761	MNXR100901
rxn10026	MNXR100908
rxn10029	MNXR100911
rxn05347	MNXR100912
rxn08766	MNXR100913
rxn10863	MNXR100916
rxn10864	MNXR100918
rxn10034	MNXR100921
rxn05291	MNXR100924
rxn10038	MNXR100925
rxn05831	MNXR100928
rxn02331	MNXR100934
rxn04928	MNXR100935
rxn00627	MNXR100936
rxn01390	MNXR100937
rxn05596	MNXR100939
rxn08770	MNXR100939
rxn00728	MNXR100946
rxn01438	MNXR100947
rxn05206	MNXR100950
rxn08771	MNXR100950
rxn05595	MNXR100951
rxn08769	MNXR100951
rxn08772	MNXR100954
rxn09897	MNXR100956
rxn09898	MNXR100957
rxn09899	MNXR100958
rxn09900	MNXR100959
rxn09901	MNXR100960
rxn09902	MNXR100961
rxn09903	MNXR100962
rxn09904	MNXR100963
rxn09905	MNXR100964
rxn09906	MNXR100965
rxn09907	MNXR100966
rxn09908	MNXR100967
rxn09909	MNXR100968
rxn09910	MNXR100969
rxn09911	MNXR100970
rxn09912	MNXR100971
rxn09913	MNXR100972
rxn09914	MNXR100973
rxn09915	MNXR100974
rxn09916	MNXR100975
rxn09917	MNXR100976
rxn09919	MNXR100978
rxn09920	MNXR100979
rxn09921	MNXR100980
rxn09922	MNXR100981
rxn09923	MNXR100982
rxn09924	MNXR100983
rxn09925	MNXR100984
rxn09926	MNXR100985
rxn09927	MNXR100986
rxn09928	MNXR100987
rxn09929	MNXR100988
rxn09930	MNXR100989
rxn09932	MNXR100991
rxn09933	MNXR100992
rxn09934	MNXR100993
rxn09935	MNXR100994
rxn09936	MNXR100995
rxn09937	MNXR100996
rxn09938	MNXR100997
rxn08795	MNXR100999
rxn11016	MNXR100999
rxn00816	MNXR101000
rxn11244	MNXR101000
rxn10865	MNXR101001
rxn08773	MNXR101002
rxn01831	MNXR101008
rxn02211	MNXR101009
rxn01618	MNXR101010
rxn04937	MNXR101010
rxn08775	MNXR101011
rxn12860	MNXR101014
rxn05597	MNXR101015
rxn01053	MNXR101018
rxn01273	MNXR101019
rxn02123	MNXR101022
rxn05598	MNXR101024
rxn08781	MNXR101025
rxn10169	MNXR101025
rxn08779	MNXR101026
rxn08780	MNXR101027
rxn04771	MNXR101028
rxn04772	MNXR101029
rxn07631	MNXR101030
rxn03646	MNXR101031
rxn01231	MNXR101032
rxn05599	MNXR101033
rxn00500	MNXR101037
rxn10900	MNXR101038
rxn08783	MNXR101039
rxn00499	MNXR101040
rxn06441	MNXR101053
rxn05161	MNXR101054
rxn08784	MNXR101054
rxn05243	MNXR101055
rxn08785	MNXR101055
rxn11119	MNXR101055
rxn13340	MNXR101055
rxn05240	MNXR101056
rxn08786	MNXR101057
rxn11003	MNXR101057
rxn13339	MNXR101058
rxn11828	MNXR101066
rxn11822	MNXR101068
rxn08788	MNXR101077
rxn08790	MNXR101079
rxn07584	MNXR101081
rxn08787	MNXR101082
rxn08791	MNXR101084
rxn05601	MNXR101094
rxn00804	MNXR101096
rxn02590	MNXR101097
rxn02290	MNXR101117
rxn00229	MNXR101118
rxn03159	MNXR101119
rxn10905	MNXR101121
rxn10566	MNXR101134
rxn08799	MNXR101144
rxn08801	MNXR101146
rxn08820	MNXR101165
rxn08822	MNXR101167
rxn08841	MNXR101186
rxn08843	MNXR101188
rxn10567	MNXR101200
rxn10088	MNXR101229
rxn10920	MNXR101230
rxn04137	MNXR101242
rxn02194	MNXR101248
rxn00484	MNXR101250
rxn10609	MNXR101251
rxn04144	MNXR101252
rxn00321	MNXR101254
rxn00322	MNXR101256
rxn00312	MNXR101258
rxn00310	MNXR101262
rxn00320	MNXR101263
rxn06442	MNXR101264
rxn08857	MNXR101264
rxn05151	MNXR101265
rxn08853	MNXR101265
rxn08854	MNXR101266
rxn09674	MNXR101266
rxn09740	MNXR101266
rxn05305	MNXR101267
rxn08855	MNXR101267
rxn13343	MNXR101267
rxn08856	MNXR101269
rxn10834	MNXR101269
rxn01394	MNXR101270
rxn05692	MNXR101271
rxn08858	MNXR101271
rxn08859	MNXR101272
rxn08792	MNXR101273
rxn08793	MNXR101275
rxn05602	MNXR101277
rxn08794	MNXR101277
rxn13334	MNXR101277
rxn10818	MNXR101278
rxn01057	MNXR101281
rxn08861	MNXR101327
rxn14087	MNXR101328
rxn00607	MNXR101336
rxn00160	MNXR101339
rxn08863	MNXR101340
rxn08864	MNXR101341
rxn00803	MNXR101342
rxn02523	MNXR101345
rxn09836	MNXR101346
rxn00330	MNXR101347
rxn00022	MNXR101350
rxn01133	MNXR101351
rxn10833	MNXR101352
rxn08869	MNXR101353
rxn10174	MNXR101353
rxn08870	MNXR101354
rxn08871	MNXR101355
rxn10172	MNXR101355
rxn08873	MNXR101356
rxn05608	MNXR101358
rxn08875	MNXR101358
rxn08876	MNXR101359
rxn08877	MNXR101360
rxn10173	MNXR101360
rxn08878	MNXR101361
rxn05170	MNXR101362
rxn08867	MNXR101362
rxn05607	MNXR101363
rxn08872	MNXR101363
rxn08874	MNXR101364
rxn09673	MNXR101365
rxn05603	MNXR101366
rxn08868	MNXR101367
rxn10967	MNXR101367
rxn05207	MNXR101368
rxn05604	MNXR101369
rxn08865	MNXR101370
rxn10153	MNXR101370
rxn08866	MNXR101371
rxn10156	MNXR101371
rxn05605	MNXR101372
rxn09739	MNXR101374
rxn00641	MNXR101375
rxn00640	MNXR101376
rxn05609	MNXR101377
rxn05676	MNXR101383
rxn08879	MNXR101384
rxn10187	MNXR101384
rxn08880	MNXR101385
rxn13644	MNXR101385
rxn01775	MNXR101389
rxn10764	MNXR101390
rxn10732	MNXR101391
rxn10763	MNXR101392
rxn08882	MNXR101394
rxn08883	MNXR101395
rxn09642	MNXR101396
rxn08884	MNXR101397
rxn13849	MNXR101400
rxn05610	MNXR101401
rxn08885	MNXR101401
rxn08886	MNXR101402
rxn12997	MNXR101402
rxn05611	MNXR101403
rxn00126	MNXR101407
rxn10710	MNXR101410
rxn02889	MNXR101411
rxn00174	MNXR101412
rxn03060	MNXR101413
rxn00289	MNXR101415
rxn09402	MNXR101416
rxn00679	MNXR101417
rxn10568	MNXR101420
rxn05465	MNXR101421
rxn02230	MNXR101422
rxn10569	MNXR101423
rxn03910	MNXR101424
rxn01025	MNXR101425
rxn08887	MNXR101426
rxn08888	MNXR101427
rxn08889	MNXR101428
rxn08890	MNXR101429
rxn08891	MNXR101430
rxn08892	MNXR101431
rxn08893	MNXR101432
rxn08894	MNXR101433
rxn08895	MNXR101434
rxn08896	MNXR101435
rxn08897	MNXR101436
rxn08898	MNXR101437
rxn10805	MNXR101438
rxn00248	MNXR101439
rxn08900	MNXR101440
rxn08901	MNXR101441
rxn10985	MNXR101442
rxn00161	MNXR101443
rxn00249	MNXR101444
rxn05104	MNXR101445
rxn00159	MNXR101446
rxn10092	MNXR101447
rxn05293	MNXR101448
rxn12033	MNXR101454
rxn05612	MNXR101460
rxn08906	MNXR101460
rxn08907	MNXR101461
rxn08908	MNXR101462
rxn02093	MNXR101463
rxn10570	MNXR101464
rxn07314	MNXR101468
rxn01533	MNXR101470
rxn05183	MNXR101472
rxn08910	MNXR101472
rxn08911	MNXR101473
rxn00456	MNXR101474
rxn00450	MNXR101478
rxn08912	MNXR101479
rxn08913	MNXR101479
rxn09942	MNXR101479
rxn00693	MNXR101481
rxn05613	MNXR101482
rxn08914	MNXR101482
rxn08916	MNXR101482
rxn08915	MNXR101483
rxn08917	MNXR101483
rxn06077	MNXR101484
rxn07437	MNXR101484
rxn07439	MNXR101484
rxn08918	MNXR101484
rxn08919	MNXR101484
rxn09940	MNXR101485
rxn09941	MNXR101486
rxn05614	MNXR101487
rxn06443	MNXR101488
rxn05219	MNXR101489
rxn08909	MNXR101489
rxn11151	MNXR101489
rxn09672	MNXR101490
rxn09738	MNXR101490
rxn05615	MNXR101491
rxn08920	MNXR101493
rxn10976	MNXR101493
rxn01607	MNXR101495
rxn09616	MNXR101496
rxn09615	MNXR101497
rxn09614	MNXR101498
rxn08924	MNXR101505
rxn10571	MNXR101505
rxn05616	MNXR101507
rxn08922	MNXR101507
rxn08923	MNXR101507
rxn08921	MNXR101508
rxn00748	MNXR101551
rxn03052	MNXR101555
rxn00881	MNXR101570
rxn00609	MNXR101571
rxn00883	MNXR101574
rxn05072	MNXR101575
rxn00882	MNXR101579
rxn03061	MNXR101580
rxn02418	MNXR101581
rxn13385	MNXR101584
rxn08925	MNXR101585
rxn13346	MNXR101585
rxn08926	MNXR101611
rxn08927	MNXR101612
rxn08928	MNXR101613
rxn08929	MNXR101614
rxn08930	MNXR101615
rxn08931	MNXR101616
rxn08932	MNXR101617
rxn05746	MNXR101619
rxn08933	MNXR101620
rxn08934	MNXR101621
rxn08935	MNXR101622
rxn08936	MNXR101623
rxn10401	MNXR101624
rxn01259	MNXR101625
rxn08937	MNXR101626
rxn08938	MNXR101627
rxn08939	MNXR101628
rxn08940	MNXR101629
rxn09737	MNXR101630
rxn08941	MNXR101632
rxn08942	MNXR101633
rxn08943	MNXR101634
rxn00672	MNXR101656
rxn01996	MNXR101657
rxn08944	MNXR101658
rxn09671	MNXR101658
rxn08945	MNXR101659
rxn00602	MNXR101661
rxn00671	MNXR101662
rxn09944	MNXR101664
rxn00501	MNXR101665
rxn02424	MNXR101668
rxn08948	MNXR101671
rxn10848	MNXR101673
rxn10844	MNXR101674
rxn00629	MNXR101675
rxn04933	MNXR101676
rxn05617	MNXR101677
rxn08949	MNXR101677
rxn13934	MNXR101677
rxn13944	MNXR101677
rxn08950	MNXR101678
rxn03885	MNXR101679
rxn03182	MNXR101683
rxn03439	MNXR101684
rxn08954	MNXR101686
rxn10986	MNXR101688
rxn05619	MNXR101689
rxn08955	MNXR101689
rxn08956	MNXR101690
rxn07430	MNXR101693
rxn07431	MNXR101695
rxn07433	MNXR101696
rxn07434	MNXR101697
rxn07432	MNXR101698
rxn00912	MNXR101702
rxn05620	MNXR101703
rxn10817	MNXR101705
rxn10815	MNXR101710
rxn00264	MNXR101715
rxn07332	MNXR101716
rxn01132	MNXR101717
rxn02733	MNXR101721
rxn02959	MNXR101728
rxn01329	MNXR101729
rxn10809	MNXR101738
rxn10803	MNXR101739
rxn10796	MNXR101740
rxn05621	MNXR101741
rxn08959	MNXR101741
rxn08960	MNXR101742
rxn12780	MNXR101743
rxn01021	MNXR101744
rxn01022	MNXR101745
rxn10574	MNXR101746
rxn03838	MNXR101747
rxn01211	MNXR101748
rxn00907	MNXR101749
rxn00906	MNXR101750
rxn04954	MNXR101751
rxn00910	MNXR101752
rxn00909	MNXR101753
rxn01134	MNXR101757
rxn03936	MNXR101758
rxn03057	MNXR101759
rxn02894	MNXR101760
rxn08965	MNXR101761
rxn10575	MNXR101762
rxn10576	MNXR101763
rxn02782	MNXR101764
rxn12678	MNXR101764
rxn02369	MNXR101765
rxn02971	MNXR101766
rxn12679	MNXR101766
rxn03743	MNXR101768
rxn10631	MNXR101769
rxn10662	MNXR101770
rxn10640	MNXR101771
rxn10655	MNXR101772
rxn10660	MNXR101773
rxn10649	MNXR101774
rxn10632	MNXR101775
rxn10641	MNXR101776
rxn10629	MNXR101777
rxn10668	MNXR101778
rxn10659	MNXR101779
rxn10635	MNXR101780
rxn10642	MNXR101781
rxn10648	MNXR101782
rxn10652	MNXR101783
rxn10669	MNXR101784
rxn10646	MNXR101785
rxn10637	MNXR101786
rxn10657	MNXR101787
rxn10650	MNXR101788
rxn10814	MNXR101792
rxn10794	MNXR101793
rxn12804	MNXR101794
rxn12805	MNXR101794
rxn11937	MNXR101796
rxn08966	MNXR101797
rxn08967	MNXR101797
rxn00088	MNXR101798
rxn10577	MNXR101799
rxn05622	MNXR101802
rxn05209	MNXR101803
rxn08984	MNXR101803
rxn08985	MNXR101804
rxn10899	MNXR101804
rxn03423	MNXR101805
rxn05310	MNXR101808
rxn08969	MNXR101808
rxn08970	MNXR101808
rxn12806	MNXR101858
rxn12747	MNXR101859
rxn08968	MNXR101860
rxn00076	MNXR101861
rxn05823	MNXR101861
rxn08971	MNXR101863
rxn08972	MNXR101864
rxn08973	MNXR101865
rxn09524	MNXR101868
rxn09523	MNXR101869
rxn08975	MNXR101872
rxn10122	MNXR101873
rxn10123	MNXR101874
rxn00066	MNXR101879
rxn00077	MNXR101882
rxn10056	MNXR101883
rxn10057	MNXR101884
rxn10058	MNXR101885
rxn10059	MNXR101886
rxn10060	MNXR101887
rxn00075	MNXR101888
rxn13106	MNXR101888
rxn14307	MNXR101888
rxn10995	MNXR101890
rxn08977	MNXR101891
rxn08978	MNXR101892
rxn13360	MNXR101896
rxn00138	MNXR101897
rxn00083	MNXR101898
rxn05887	MNXR101899
rxn13361	MNXR101900
rxn10820	MNXR101907
rxn08981	MNXR101909
rxn01265	MNXR101910
rxn00941	MNXR101911
rxn08999	MNXR101912
rxn10823	MNXR101912
rxn05894	MNXR101913
rxn08982	MNXR101914
rxn10179	MNXR101914
rxn08983	MNXR101915
rxn10178	MNXR101915
rxn01037	MNXR101917
