MNXR94195
MNXR94196
MNXR94197
MNXR94198
MNXR94199
MNXR94200
MNXR94201
MNXR94202
MNXR94217
MNXR94218
MNXR94219
MNXR94220
MNXR94221
MNXR94222
MNXR94223
MNXR94224
MNXR94225
MNXR94226
MNXR94227
MNXR94245
MNXR94246
MNXR94247
MNXR94248
MNXR94249
MNXR94250
MNXR94251
MNXR94252
MNXR94253
MNXR94254
MNXR94255
MNXR94256
MNXR94257
MNXR94258
MNXR94259
MNXR94260
MNXR94261
MNXR94262
MNXR94263
MNXR94264
MNXR94265
MNXR94266
MNXR94267
MNXR94312
MNXR94313
MNXR94325
MNXR94332
MNXR94333
MNXR94334
MNXR94338
MNXR94426
MNXR94492
MNXR94671
MNXR94792	rxn00905
MNXR94796	rxn00741
MNXR94815	rxn05106
MNXR94833	rxn03333
MNXR94843	rxn01827
MNXR94889	rxn01927
MNXR94891	rxn03433
MNXR94896
MNXR94941	rxn05338
MNXR94942	rxn05340
MNXR94951	rxn05339
MNXR94952	rxn05337
MNXR94953	rxn05341
MNXR94964
MNXR94991	rxn01459
MNXR94999	rxn02483
MNXR95024	rxn03446
MNXR95055	rxn11755
MNXR95071	rxn11759
MNXR95078
MNXR95085
MNXR95132	rxn01117
MNXR95135
MNXR95136	rxn00988
MNXR95159	rxn00361
MNXR95191	rxn01851
MNXR95194	rxn00178
MNXR95195	rxn00676
MNXR95196	rxn00874
MNXR95197
MNXR95198	rxn02680
MNXR95199
MNXR95201	rxn06510
MNXR95203	rxn02804
MNXR95212	rxn08032
MNXR95215
MNXR95216	rxn03537
MNXR95219	rxn00533
MNXR95220	rxn06673
MNXR95221
MNXR95227	rxn05092
MNXR95253	rxn05485
MNXR95256	rxn01917
MNXR95259	rxn00192
MNXR95302	rxn00872
MNXR95305	rxn00868
MNXR95306	rxn02270
MNXR95308
MNXR95310	rxn10011
MNXR95311
MNXR95313	rxn10013
MNXR95315	rxn10014
MNXR95316	rxn05732
MNXR95318	rxn02866
MNXR95319	rxn01924
MNXR95362	rxn01923
MNXR95376	rxn05349
MNXR95377	rxn00469
MNXR95386	rxn00974
MNXR95387	rxn01388
MNXR95388	rxn01637
MNXR95403	rxn06023
MNXR95410	rxn01103
MNXR95413	rxn00175
MNXR95427	rxn00227
MNXR95430	rxn08062
MNXR95432	rxn01137
MNXR95436	rxn03841
MNXR95440	rxn01257
MNXR95441	rxn03540
MNXR95444	rxn00065
MNXR95450	rxn00097
MNXR95451	rxn10052
MNXR95455	rxn00127
MNXR95456	rxn00134
MNXR95459	rxn00927
MNXR95461	rxn05318
MNXR95465	rxn03536
MNXR95469	rxn03538
MNXR95480
MNXR95482	rxn00139
MNXR95493	rxn00800
MNXR95494	rxn03136
MNXR95495	rxn00838
MNXR95501	rxn00122
MNXR95528	rxn01484
MNXR95529	rxn01029
MNXR95530	rxn02465
MNXR95551	rxn03511
MNXR95558
MNXR95559
MNXR95560
MNXR95561
MNXR95564
MNXR95565
MNXR95567
MNXR95618	rxn00272
MNXR95636	rxn05733
MNXR95639	rxn03137
MNXR95646
MNXR95655	rxn08094
MNXR95656	rxn01872
MNXR95661	rxn05493
MNXR95665	rxn03167
MNXR95678	rxn00851
MNXR95693	rxn00283
MNXR95709	rxn00763
MNXR95725	rxn00543
MNXR95745	rxn02853
MNXR95748	rxn00653
MNXR95749	rxn00506
MNXR95752	rxn05735
MNXR95764	rxn00743
MNXR95795	rxn00975
MNXR95806	rxn02312
MNXR95812	rxn02275
MNXR95813	rxn01843
MNXR95814	rxn02222
MNXR95815	rxn00231
MNXR95816	rxn03839
MNXR95823	rxn10094
MNXR95828	rxn00650
MNXR95841	rxn00105
MNXR95842	rxn00791
MNXR95843	rxn00727
MNXR95844	rxn00726
MNXR95852	rxn02320
MNXR95853	rxn02916
MNXR95854	rxn02297
MNXR95860	rxn01406
