MNXR100107
MNXR100312
MNXR100633
MNXR100662
MNXR100747
MNXR100753
MNXR100776
MNXR100903
MNXR100904
MNXR100905
MNXR100906
MNXR100932
MNXR100933
MNXR101141
MNXR101142
MNXR101143
MNXR101162
MNXR101163
MNXR101164
MNXR101276
MNXR101382
MNXR101419
MNXR101513
MNXR101666
MNXR101669
MNXR101876
MNXR101986
MNXR102372
MNXR102507
MNXR102511
MNXR102535
MNXR102589
MNXR102596
MNXR102632
MNXR102967
MNXR102968
MNXR102969
MNXR102989
MNXR102990
MNXR102991
MNXR103157
MNXR103165
MNXR103215
MNXR103229
MNXR103233
MNXR103235
MNXR103266
MNXR103270
MNXR103272
MNXR103329
MNXR103431
MNXR104084
MNXR104285
MNXR104498
MNXR104715
MNXR104868
MNXR104869
MNXR104971
MNXR105013
MNXR28694	rxn10237_c0
MNXR28710	rxn10253_c0
MNXR28711	rxn10254_c0
MNXR28712	rxn10255_c0
MNXR28713	rxn10256_c0
MNXR28714	rxn10257_c0
MNXR28715	rxn10258_c0
MNXR28716	rxn10259_c0
MNXR28717	rxn10260_c0
MNXR28718	rxn10261_c0
MNXR28719	rxn10262_c0
MNXR28720	rxn10263_c0
MNXR28721	rxn10264_c0
MNXR28722	rxn10265_c0
MNXR28723	rxn10266_c0
MNXR29077	rxn11268_c0
MNXR29256	rxn11944_c0
MNXR2929	rxn00452_c0
MNXR2930	rxn08703_c0
MNXR29604	rxn12844_c0
MNXR29606	rxn12846_c0
MNXR29607	rxn12847_c0
MNXR31648	rxn00350_c0
MNXR3231	rxn01834_c0
MNXR32524	rxn00527_c0
MNXR3277	rxn08804_c0
MNXR3279	rxn08806_c0
MNXR3312	rxn08839_c0
MNXR33771	rxn02339_c0
MNXR33785	rxn01215_c0
MNXR33807	rxn00181_c0
MNXR34453	rxn01987_c0
MNXR3469	rxn05104_c0
MNXR3495	rxn00693_c0
MNXR3536	rxn02460_c0
MNXR35657	rxn01387_c0
MNXR40035	rxn00472_c0
MNXR40622	rxn01461_c0
MNXR4313	rxn09131_c0
MNXR4335	rxn09152_c0
MNXR4402	rxn01268_c0
MNXR4403	rxn01269_c0
MNXR4458	rxn02181_c0
MNXR46338	rxn12640_c0
MNXR47135	rxn14301_c0
MNXR5314	rxn03130_c0
MNXR53357	rxn05358_c0
MNXR53358	rxn05383_c0
MNXR53359	rxn05408_c0
MNXR53360	rxn05451_c0
MNXR53361	rxn05452_c0
MNXR53362	rxn05453_c0
MNXR53363	rxn05454_c0
MNXR53364	rxn05455_c0
MNXR53365	rxn05456_c0
MNXR53366	rxn05457_c0
MNXR53368	rxn05459_c0
MNXR5404	rxn00199_c0
MNXR5449	rxn03287_c0
MNXR5475	rxn05005_c0
MNXR55674	rxn03159_c0
MNXR55989	rxn03901_c0
MNXR55990	rxn09345_c0
MNXR5630	rxn00675_c0
MNXR5681	rxn00933_c0
MNXR5689	rxn01107_c0
MNXR5724	rxn02406_c0
MNXR5727	rxn00196_c0
MNXR57329	rxn14294_c0
MNXR5765	rxn05871_c0
MNXR578	rxn00141_c0
MNXR58251	rxn02159_c0
MNXR5856	rxn02015_c0
MNXR58824	rxn03918_c0
MNXR5887	rxn00986_c0
MNXR5910	rxn05049_c0
MNXR59227	rxn00863_c0
MNXR5927	rxn04068_c0
MNXR59665	rxn03120_c0
MNXR59713	rxn03273_c0
MNXR59771	rxn03440_c0
MNXR59886	rxn03871_c0
MNXR60025	rxn04139_c0
MNXR6030	rxn02925_c0
MNXR60319	rxn04723_c0
MNXR60320	rxn04724_c0
MNXR60327	rxn04748_c0
MNXR6043	rxn05006_c0
MNXR60581	rxn07734_c0
MNXR60651	rxn07875_c0
MNXR60681	rxn11713_c0
MNXR60682	rxn11714_c0
MNXR60684	rxn11717_c0
MNXR60685	rxn11719_c0
MNXR60686	rxn11720_c0
MNXR60687	rxn11721_c0
MNXR60688	rxn11722_c0
MNXR60689	rxn11723_c0
MNXR60692	rxn11727_c0
MNXR6106	rxn00222_c0
MNXR6164	rxn01702_c0
MNXR61873	rxn06624_c0
MNXR6274	rxn06488_c0
MNXR6283	rxn03002_c0
MNXR62992	rxn11724_c0
MNXR6311	rxn05024_c0
MNXR6332	rxn02166_c0
MNXR63965	rxn12635_c0
MNXR63966	rxn12633_c0
MNXR63967	rxn12639_c0
MNXR63968	rxn12641_c0
MNXR63969	rxn12642_c0
MNXR63971	rxn12645_c0
MNXR63972	rxn12646_c0
MNXR63973	rxn12634_c0
MNXR63975	rxn12637_c0
MNXR6493	rxn00406_c0
MNXR6494	rxn02345_c0
MNXR6532	rxn00658_c0
MNXR6539	rxn01854_c0
MNXR65450	rxn06690_c0
MNXR65498	rxn07476_c0
MNXR6555	rxn03142_c0
MNXR6631	rxn02796_c0
MNXR67415	rxn10199_c0
MNXR6834	rxn01124_c0
MNXR6908	rxn06038_c0
MNXR69161	rxn05574_c0
MNXR69337	rxn08802_c0
MNXR69346	rxn08816_c0
MNXR69352	rxn08823_c0
MNXR6969	rxn02107_c0
MNXR69693	rxn09109_c0
MNXR69694	rxn09110_c0
MNXR6970	rxn03971_c0
MNXR69727	rxn09129_c0
MNXR69749	rxn09150_c0
MNXR69763	rxn09164_c0
MNXR69802	rxn09198_c0
MNXR69813	rxn09206_c0
MNXR69814	rxn09207_c0
MNXR70083	rxn00776_c0
MNXR70220	rxn11599_c0
MNXR70329	rxn02229_c0
MNXR70375	rxn00441_c0
MNXR7063	rxn00921_c0
MNXR70958	rxn04989_c0
MNXR71149	rxn06577_c0
MNXR71171	rxn02693_c0
MNXR7118	rxn00259_c0
MNXR71184	rxn03923_c0
MNXR71295	rxn02421_c0
MNXR7133	rxn01157_c0
MNXR7136	rxn02617_c0
MNXR71393	rxn02586_c0
MNXR71411	rxn04977_c0
MNXR71500	rxn14090_c0
MNXR71594	rxn00798_c0
MNXR71850	rxn00519_c0
MNXR7212	rxn00589_c0
MNXR72719	rxn07449_c0
MNXR7297	rxn00314_c0
MNXR73656	rxn00302_c0
MNXR73710	rxn00700_c0
MNXR73713	rxn00714_c0
MNXR73934	rxn11962_c0
MNXR74185	rxn02791_c0
MNXR74304	rxn03174_c0
MNXR74373	rxn05354_c0
MNXR74388	rxn03421_c0
MNXR7442	rxn06526_c0
MNXR7459	rxn00068_c0
MNXR74626	rxn04132_c0
MNXR74716	rxn04270_c0
MNXR74717	rxn04271_c0
MNXR74722	rxn04278_c0
MNXR74782	rxn04457_c0
MNXR74931	rxn04744_c0
MNXR74932	rxn04745_c0
MNXR75041	rxn07230_c0
MNXR75218	rxn07670_c0
MNXR75220	rxn07672_c0
MNXR75221	rxn07673_c0
MNXR75248	rxn07720_c0
MNXR75249	rxn07721_c0
MNXR75271	rxn07842_c0
