,Loop1,Loop2,Loop3,Loop4,Loop5,Loop6,Loop7,Loop8,Loop9,Loop10,Loop11,Loop12,Loop13,Loop14,Loop15,Loop16,Loop17,Loop18,Loop19,Loop20,Loop21,Loop22,Loop23,Loop24,Loop25,Loop26,Loop27,Loop28,Loop29,Loop30,Loop31,Loop32,Loop33,Loop34,Loop35,Loop36,Loop37,Loop38,Loop39,Loop40,Loop41,Loop42,Loop43,Loop44,Loop45,Loop46,Loop47,Loop48,Loop49,Loop50
MNXR8994,-0.1,-0.07,0.06,-0.08,0.07,-0.05,0.03,0.06,0.17,-0.17,0.06,-0.07,-0.01,-0.06,-0.02,0.08,-0.03,-0.01,-0.03,0.09,0.14,0.03,0.12,0.01,0.06,-0.03,-0.02,0.02,-0.04,0.11,-0.04,0.11,0.07,-0.04,0.01,0.14,0,-0.04,-0.02,-0.04,0.04,-0.09,-0.05,0.01,-0.1,0.08,0.1,-0.05,0.02,-0.04
MNXR93624,0.02,-0.08,0.2,0.06,0.23,-0.06,0.03,-0.04,0.05,0,0.08,0.13,0.2,0.11,-0.05,0.14,0.14,0.08,0.02,-0.18,0.1,-0.07,-0.01,0.07,0.02,0.02,0.02,-0.06,0.05,0.03,-0.07,-0.09,-0.04,0.08,0.01,-0.01,-0.08,-0.05,0.05,-0.03,-0.1,-0.02,0.05,-0.13,0.03,0.03,-0.05,-0.02,0,0.09
MNXR93704,-0.03,0.03,-0.02,0.12,0.11,-0.07,0.06,0.19,-0.15,-0.04,0.03,0.17,0.01,-0.1,-0.14,-0.12,-0.01,0.13,0.06,-0.06,-0.09,0.02,-0.09,0.02,0.12,0.15,-0.12,0.05,-0.04,-0.01,-0.02,0.1,0.11,0.04,0.14,0.12,-0.06,0.14,0.09,0,0.01,0.02,-0.04,0.18,-0.01,0.09,-0.01,-0.08,0,-0.04
MNXR93715,-0.04,0.18,-0.02,0.07,0.12,-0.07,-0.02,0.07,0.05,0.06,0.14,-0.01,-0.11,-0.02,0.22,-0.01,0.03,-0.07,-0.09,-0.01,-0.09,-0.05,0.13,-0.05,-0.05,0.02,0.19,0.05,-0.05,-0.16,-0.06,0.18,-0.18,0.04,-0.12,0.03,0.11,-0.17,0.05,-0.03,0.01,-0.07,0.17,-0.12,0.15,0.05,0.02,-0.12,0,0.01
MNXR93746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNXR93748,0.15,-0.25,-0.01,-0.33,0.06,0.09,-0.07,-0.06,-0.1,0.03,0.02,-0.06,0.06,0.17,-0.03,-0.02,-0.05,-0.06,-0.02,0.02,0.01,-0.05,0.04,-0.03,-0.04,0.06,-0.04,0,-0.08,0.07,0.09,0.07,0.03,-0.05,-0.01,-0.06,0.02,0.03,-0.1,0.02,0.01,-0.14,0.02,0.03,0,-0.17,-0.06,-0.07,0,0.14
MNXR93798,0.03,-0.12,-0.03,0.02,-0.03,-0.03,0.05,0.02,0,-0.04,0.02,-0.07,-0.14,0.03,0.16,-0.12,-0.07,0,-0.01,0.12,0.11,0.05,0.08,-0.15,0.01,0.06,-0.1,0.04,-0.05,-0.07,0.05,0,0.03,-0.1,0.05,-0.15,0.13,0.14,-0.05,-0.04,-0.11,0.19,-0.07,-0.01,0.11,0.1,-0.1,-0.06,0,-0.19
MNXR93844,-0.02,0.1,-0.09,-0.04,-0.1,0.05,-0.04,0.01,-0.03,0.02,-0.05,-0.03,-0.03,-0.07,-0.05,-0.01,-0.04,-0.04,0,0.03,-0.1,0.01,-0.04,0.04,-0.01,-0.04,0.04,0.01,0,0.02,0.01,0.04,0,0.01,-0.03,0.08,-0.02,-0.04,0,0.03,0.11,-0.09,0.01,0.07,-0.07,-0.07,0.08,0.04,0,0.05
MNXR93845,0.02,-0.1,0.09,0.04,0.1,-0.05,0.04,-0.01,0.03,-0.02,0.05,0.03,0.03,0.07,0.05,0.01,0.04,0.04,0,-0.03,0.1,-0.01,0.04,-0.04,0.01,0.04,-0.04,-0.01,0,-0.02,-0.01,-0.04,0,-0.01,0.03,-0.08,0.02,0.04,0,-0.03,-0.11,0.09,-0.01,-0.07,0.07,0.07,-0.08,-0.04,0,-0.05
MNXR93945,-0.04,-0.11,0.01,-0.02,0.2,0.17,-0.11,-0.14,0.06,0.06,-0.06,-0.06,0,-0.14,0.08,-0.11,0.04,0.02,0.06,-0.07,-0.21,-0.07,0.15,-0.07,0.13,-0.05,0.11,0.19,0.07,0.16,0.08,0.01,-0.09,0.06,0.05,0.07,-0.06,0.05,0.02,-0.01,0.01,0.17,0.06,0.02,-0.06,0.04,-0.11,0.17,0.04,-0.04
