ID_corrected	Equa_BiGG_Corrected	Genes	LB	UB
MNXR80403	1 h2o_c + 1 pa161_c <-- 1 MNXM56352_c + 1 1hdec9eg3p_c	1185660.4.peg.1329	-1000	0
MNXR80405	1 MNXM114214_c + 3 h_c + 1 ocdca_c <==> 1 h2o_c + 1 pe180_c	1185660.4.peg.1329	-1000	1000
MNXR80406	1 MNXM114214_c + 1 MNXM65309_c <==> 1 pe181_c + 1 h2o_c	1185660.4.peg.1329	-1000	1000
MNXR80464	1 h_c + 1 gcald_c + 0.5 o2_c + 1 4ahmmp_c + 1 pi_c <==> 1 h2o_c + 1 air_c	1185660.4.peg.3276	0	1000
MNXR80501	1 ppi_c + 1 MNXM8379_c <==> 1 ctp_c + 1 MNXM6580_c	(1185660.4.peg.1658 or 1185660.4.peg.503)	-1000	1000
MNXR80502	1 ppi_c + 1 MNXM8377_c <==> 1 ctp_c + 1 MNXM6573_c	(1185660.4.peg.503 or 1185660.4.peg.1658)	-1000	1000
MNXR80503	1 ppi_c + 1 MNXM8382_c <==> 1 ctp_c + 1 MNXM6583_c	(1185660.4.peg.1658 or 1185660.4.peg.503)	-1000	1000
MNXR80504	1 ppi_c + 1 MNXM8381_c <==> 1 ctp_c + 1 MNXM6582_c	(1185660.4.peg.1658 or 1185660.4.peg.503)	-1000	1000
MNXR80505	1 ppi_c + 1 MNXM8378_c <==> 1 ctp_c + 1 MNXM6574_c	(1185660.4.peg.503 or 1185660.4.peg.1658)	-1000	1000
MNXR80506	1 ppi_c + 1 MNXM8380_c <==> 1 ctp_c + 1 MNXM6581_c	(1185660.4.peg.1658 or 1185660.4.peg.503)	-1000	1000
MNXR80553	2 pg160_c <==> 1 MNXM6370_c + 1 glyc_c	(1185660.4.peg.4257 or 1185660.4.peg.4173 or 1185660.4.peg.9 or 1185660.4.peg.3980)	-1000	1000
MNXR80555	1 MNXM6440_c + 1 glyc_c <==> 2 pg180_c	(1185660.4.peg.9 or 1185660.4.peg.3980 or 1185660.4.peg.4173 or 1185660.4.peg.4257)	-1000	1000
MNXR80556	2 MNXM5129_c <==> 1 MNXM6297_c + 1 glyc_c	(1185660.4.peg.3980 or 1185660.4.peg.9 or 1185660.4.peg.4173 or 1185660.4.peg.4257)	-1000	1000
MNXR80557	2 MNXM5124_c <==> 1 MNXM6175_c + 1 glyc_c	(1185660.4.peg.9 or 1185660.4.peg.3980 or 1185660.4.peg.4257 or 1185660.4.peg.4173)	-1000	1000
MNXR80558	1 MNXM18772_c + 1 glyc_c <==> 2 MNXM5132_c	(1185660.4.peg.4173 or 1185660.4.peg.4257 or 1185660.4.peg.9 or 1185660.4.peg.3980)	-1000	1000
MNXR80559	2 MNXM5131_c <==> 1 MNXM6301_c + 1 glyc_c	(1185660.4.peg.3980 or 1185660.4.peg.9 or 1185660.4.peg.4173 or 1185660.4.peg.4257)	-1000	1000
MNXR80560	2 MNXM5125_c <==> 1 MNXM6176_c + 1 glyc_c	(1185660.4.peg.4257 or 1185660.4.peg.4173 or 1185660.4.peg.3980 or 1185660.4.peg.9)	-1000	1000
MNXR80561	2 MNXM5130_c <==> 1 MNXM6298_c + 1 glyc_c	(1185660.4.peg.9 or 1185660.4.peg.3980 or 1185660.4.peg.4257 or 1185660.4.peg.4173)	-1000	1000
MNXR8073	1 ara5p_c + 1 h_c + 1 adp_c <==> 1 atp_c + 1 arab__D_c	1185660.4.peg.1803	-1000	1000
MNXR80794	1 2omph_c + 1 o2_c --> 1 2ombz_c + 1 h2o_c	1185660.4.peg.901	0	1000
MNXR80876	1 h_c + 1 h2o_c + 1 MNXM8868_c <==> 1 ala__L_c + 1 met__L_c	((1185660.4.peg.1672 or 1185660.4.peg.3572) or 1185660.4.peg.3472 or 1185660.4.peg.3347 or 1185660.4.peg.231 or 1185660.4.peg.3858 or 1185660.4.peg.231)	-1000	1000
MNXR80878	1 pro__L_c + 1 gly_c <-- 1 h2o_c + 1 MNXM8670_c	((1185660.4.peg.1672 or 1185660.4.peg.3572) or 1185660.4.peg.3472 or 1185660.4.peg.3347 or 1185660.4.peg.231 or 1185660.4.peg.3858 or 1185660.4.peg.231)	-1000	0
MNXR80879	1 thr__L_c + 1 ala__L_c <==> 1 h2o_c + 1 MNXM8264_c	((1185660.4.peg.3572 or 1185660.4.peg.1672) or 1185660.4.peg.3472 or 1185660.4.peg.3347 or 1185660.4.peg.231 or 1185660.4.peg.3858 or 1185660.4.peg.231)	-1000	1000
MNXR81103	1 mqn7_c + 1 ahcys_c + 1 h_c --> 1 amet_c + 1 MNXM715_c	Unknown	0	1000
MNXR8129	1 ptrc_c + 1 spmd_c <==> 1 hspmd_c + 1 MNXM350_c	1185660.4.peg.2760	-1000	1000
MNXR8203	1 coa_c + 1 MNXM4735_c <==> 1 anth_c + 1 malcoa_c	1185660.4.peg.1287	-1000	1000
MNXR8219	1 cmp_nate_c + 1 MNXM3907_c <==> 1 cmp_c + 1 MNXM4462_c	(1185660.4.peg.3117 or 1185660.4.peg.2670)	-1000	1000
MNXR8221	3 5mta_c + 3 h_c + 1 MNXM2055_c <==> 3 amet_c	(1185660.4.peg.3364 or 1185660.4.peg.3699)	-1000	1000
MNXR8252	1 h_c + 1 MNXM4753_c + 1 adp_c <==> 1 atp_c + 1 MNXM4871_c	1185660.4.peg.885	-1000	1000
MNXR8269	1 h_c + 1 MNXM4547_c + 1 adp_c <==> 1 MNXM3592_c + 1 atp_c	1185660.4.peg.638	-1000	1000
MNXR8303	1 h_c + 1 MNXM4675_c + 1 adp_c <==> 1 atp_c + 1 MNXM4606_c	1185660.4.peg.1071	-1000	1000
MNXR8328	1 ppi_c + 1 MNXM4718_c <==> 1 anth_c + 1 atp_c	1185660.4.peg.1286	-1000	1000
