Reaction	Void	rpfCGH
MNXR27643	-1	-1
MNXR27644	-1	-1
MNXR27646	1	1
MNXR27647	-1	-1
MNXR27648	-1	-1
MNXR27650	1	1
MNXR27651	-1	-1
MNXR27652	-1	-1
MNXR27654	1	1
MNXR27655	-1	-1
MNXR27656	-1	-1
MNXR27659	1	1
MNXR27660	-1	-1
MNXR27661	-1	-1
MNXR27663	1	1
MNXR27664	-1	-1
MNXR27665	-1	-1
MNXR27667	1	1
MNXR27668	-1	-1
MNXR27669	-1	-1
MNXR27671	1	1
MNXR27672	-1	-1
MNXR27673	-1	-1
MNXR27675	1	1
MNXR27676	-1	-1
MNXR27677	-1	-1
MNXR27679	1	1
MNXR27680	-1	-1
MNXR27681	-1	-1
MNXR27684	1	1
MNXR27686	-1	-1
MNXR27688	1	1
MNXR27690	-1	-1
MNXR27692	1	1
MNXR27694	-1	-1
MNXR27696	1	1
MNXR27698	-1	-1
MNXR27700	1	1
MNXR27702	-1	-1
MNXR27704	1	1
MNXR27706	-1	-1
MNXR2772	1	1
MNXR27735	1	1
MNXR27737	-1	-1
MNXR27805	-1	-1
MNXR27856	-1	-1
MNXR2786	-1	-1
MNXR2826	0	-1
MNXR2832	0	0
MNXR28652	-1	-1
MNXR28653	-1	-1
MNXR28654	-1	-1
MNXR28660	0	0
MNXR28662	0	0
MNXR28663	0	0
MNXR28664	0	0
MNXR28665	0	0
MNXR28666	0	0
MNXR28667	0	0
MNXR28671	0	0
MNXR28672	0	0
MNXR28673	0	0
MNXR28674	0	0
MNXR28675	0	0
MNXR28676	0	0
MNXR28683	0	0
MNXR28684	0	0
MNXR28685	0	0
MNXR28686	0	0
MNXR28687	0	0
MNXR28688	0	0
MNXR28689	0	0
MNXR28690	0	0
MNXR28691	0	0
MNXR28692	0	0
MNXR28693	0	0
MNXR28694	0	0
MNXR28710	0	-1
MNXR28711	0	-1
MNXR28712	0	-1
MNXR28713	0	-1
MNXR28714	0	-1
MNXR28715	0	-1
MNXR28716	1	-1
MNXR28717	1	-1
MNXR28718	1	-1
MNXR28719	1	-1
MNXR28720	1	-1
MNXR28721	1	-1
MNXR28722	-1	-1
MNXR28723	-1	-1
MNXR29077	0	0
MNXR29256	-1	0
MNXR2929	-1	-1
MNXR2930	-1	-1
MNXR29604	1	1
MNXR29606	1	1
MNXR29607	1	1
MNXR31648	0	0
MNXR3231	0	-1
MNXR32524	1	1
MNXR3277	-1	-1
MNXR3279	-1	-1
MNXR3312	-1	-1
MNXR33771	1	1
MNXR33785	0	0
MNXR33807	0	0
MNXR34453	1	1
MNXR3469	0	0
MNXR3495	0	0
MNXR3536	0	0
MNXR35657	1	1
MNXR40035	0	0
MNXR40622	1	1
MNXR4313	0	-1
MNXR4335	0	-1
MNXR4402	-1	-1
MNXR4403	-1	-1
MNXR4458	0	0
MNXR46338	1	1
MNXR47135	1	1
MNXR5314	0	1
MNXR53357	1	1
MNXR53358	1	1
MNXR53359	1	1
MNXR53360	1	1
MNXR53361	1	1
MNXR53362	1	1
MNXR53363	1	1
MNXR53364	1	1
MNXR53365	1	1
MNXR53366	1	1
MNXR53368	1	1
MNXR5404	1	1
MNXR5449	0	0
MNXR5475	-1	-1
MNXR55674	0	0
MNXR55989	0	0
MNXR55990	1	1
MNXR5630	-1	-1
MNXR5681	-1	-1
MNXR5689	0	-1
MNXR5724	0	-1
MNXR5727	-1	-1
MNXR57329	0	0
MNXR5765	0	0
MNXR578	1	0
MNXR58251	-1	-1
MNXR5856	0	0
